date,amount,description,merchant
2026-01-01,75000,SALARY CREDIT JAN 2026 - ACME CORP,ACME Corp
2026-01-01,-25000,RENT PAYMENT JAN 2026,Landlord
2026-01-02,-2500,BSES ELECTRICITY BILL JAN,BSES Delhi
2026-01-02,-800,DELHI JAL BOARD WATER BILL JAN,Delhi Jal Board
2026-01-03,-999,JIO FIBER MONTHLY JAN,Jio
2026-01-04,-1400,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-01-07,-950,DMART GROCERY PURCHASE,DMart
2026-01-10,-1200,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-01-14,-680,MORE MEGASTORE BILL,More Supermarket
2026-01-03,-350,UBER RIDE TO OFFICE,Uber
2026-01-06,-200,OLA AUTO RIDE,Ola
2026-01-09,-150,DELHI METRO RECHARGE,Metro Rail
2026-01-13,-280,UBER RIDE AIRPORT,Uber
2026-01-17,-180,OLA RIDE HOME,Ola
2026-01-02,-499,NETFLIX SUBSCRIPTION JAN,Netflix
2026-01-02,-299,SPOTIFY PREMIUM JAN,Spotify
2026-01-15,-750,PVR MOVIE TICKETS,PVR Cinemas
2026-01-05,-850,SWIGGY ORDER DINNER,Swiggy
2026-01-08,-1200,ZOMATO DINNER ORDER,Zomato
2026-01-12,-650,SWIGGY LUNCH ORDER,Swiggy
2026-01-18,-500,DOMINOS PIZZA ORDER,Dominos
2026-01-06,-2800,AMAZON ORDER ELECTRONICS,Amazon
2026-01-11,-1500,FLIPKART ORDER,Flipkart
2026-01-20,-1200,MYNTRA FASHION ORDER,Myntra
2026-01-08,-500,APOLLO PHARMACY MEDICINES,Apollo Pharmacy
2026-01-10,-5000,LIC PREMIUM JAN 2026,LIC
2026-01-15,-2500,SIP MUTUAL FUND JAN 2026,Zerodha
2026-01-15,-5000,PPF CONTRIBUTION JAN 2026,SBI PPF
2026-01-25,-3000,EMERGENCY FUND TRANSFER JAN,HDFC Savings
2026-01-19,-1500,UDEMY COURSE PURCHASE,Udemy
2026-01-22,-350,PERSONAL CARE PRODUCTS,Nykaa
2026-02-01,78000,SALARY CREDIT FEB 2026 - ACME CORP,ACME Corp
2026-02-01,-25000,RENT PAYMENT FEB 2026,Landlord
2026-02-02,-2600,BSES ELECTRICITY BILL FEB,BSES Delhi
2026-02-02,-800,DELHI JAL BOARD WATER BILL FEB,Delhi Jal Board
2026-02-03,-999,JIO FIBER MONTHLY FEB,Jio
2026-02-04,-1350,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-02-08,-1100,DMART GROCERY PURCHASE,DMart
2026-02-12,-1250,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-02-16,-720,MORE MEGASTORE BILL,More Supermarket
2026-02-03,-380,UBER RIDE TO OFFICE,Uber
2026-02-07,-220,OLA AUTO RIDE,Ola
2026-02-10,-150,DELHI METRO RECHARGE,Metro Rail
2026-02-14,-300,UBER RIDE MALL,Uber
2026-02-19,-200,OLA RIDE DINNER,Ola
2026-02-02,-499,NETFLIX SUBSCRIPTION FEB,Netflix
2026-02-02,-299,SPOTIFY PREMIUM FEB,Spotify
2026-02-20,-900,PVR MOVIE TICKETS IMAX,PVR Cinemas
2026-02-12,-400,BOOKMYSHOW COMEDY SHOW,BookMyShow
2026-02-05,-920,SWIGGY ORDER DINNER,Swiggy
2026-02-09,-1350,ZOMATO DINNER ORDER,Zomato
2026-02-13,-700,SWIGGY LUNCH ORDER,Swiggy
2026-02-22,-850,DOMINOS PIZZA ORDER,Dominos
2026-02-17,-600,BARBEQUE NATION DINNER,Barbeque Nation
2026-02-07,-3500,AMAZON ORDER HEADPHONES,Amazon
2026-02-14,-2200,FLIPKART VALENTINES GIFT,Flipkart
2026-02-25,-1800,MYNTRA FASHION SALE,Myntra
2026-02-08,-750,APOLLO PHARMACY CHECKUP,Apollo Pharmacy
2026-02-10,-5000,LIC PREMIUM FEB 2026,LIC
2026-02-15,-3000,SIP MUTUAL FUND FEB 2026,Zerodha
2026-02-15,-5000,PPF CONTRIBUTION FEB 2026,SBI PPF
2026-02-26,-3500,EMERGENCY FUND TRANSFER FEB,HDFC Savings
2026-02-18,-800,SKILLSHARE SUBSCRIPTION,Skillshare
2026-02-24,-400,PERSONAL CARE SALON,Urban Company
2026-03-01,80000,SALARY CREDIT MAR 2026 - ACME CORP,ACME Corp
2026-03-01,-25000,RENT PAYMENT MAR 2026,Landlord
2026-03-02,-2700,BSES ELECTRICITY BILL MAR,BSES Delhi
2026-03-02,-850,DELHI JAL BOARD WATER BILL MAR,Delhi Jal Board
2026-03-03,-999,JIO FIBER MONTHLY MAR,Jio
2026-03-05,-1500,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-03-09,-1050,DMART GROCERY PURCHASE,DMart
2026-03-13,-1350,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-03-17,-800,MORE MEGASTORE BILL,More Supermarket
2026-03-20,-900,BIGBASKET MONTHLY ESSENTIALS,BigBasket
2026-03-03,-400,UBER RIDE TO OFFICE,Uber
2026-03-07,-250,OLA AUTO RIDE,Ola
2026-03-11,-150,DELHI METRO RECHARGE,Metro Rail
2026-03-15,-350,UBER RIDE AIRPORT,Uber
2026-03-19,-200,OLA RIDE HOME,Ola
2026-03-02,-499,NETFLIX SUBSCRIPTION MAR,Netflix
2026-03-02,-299,SPOTIFY PREMIUM MAR,Spotify
2026-03-08,-850,PVR MOVIE TICKETS,PVR Cinemas
2026-03-05,-1000,SWIGGY ORDER DINNER,Swiggy
2026-03-10,-1400,ZOMATO DINNER ORDER,Zomato
2026-03-14,-750,SWIGGY LUNCH ORDER,Swiggy
2026-03-21,-900,DOMINOS PIZZA AND SIDES,Dominos
2026-03-25,-700,HALDIRAMS PARTY ORDER,Haldirams
2026-03-08,-4000,AMAZON LAPTOP BAG AND ACCESSORIES,Amazon
2026-03-15,-2500,FLIPKART ORDER SHOES,Flipkart
2026-03-22,-1600,MYNTRA SUMMER COLLECTION,Myntra
2026-03-09,-600,APOLLO PHARMACY MEDICINES,Apollo Pharmacy
2026-03-10,-5000,LIC PREMIUM MAR 2026,LIC
2026-03-15,-3500,SIP MUTUAL FUND MAR 2026,Zerodha
2026-03-15,-5500,PPF CONTRIBUTION MAR 2026,SBI PPF
2026-03-27,-4000,EMERGENCY FUND TRANSFER MAR,HDFC Savings
2026-03-16,-2000,COURSERA COURSE PYTHON,Coursera
2026-03-24,-450,PERSONAL CARE GROOMING,Urban Company
2026-04-01,82000,SALARY CREDIT APR 2026 - ACME CORP,ACME Corp
2026-04-01,-25000,RENT PAYMENT APR 2026,Landlord
2026-04-02,-2800,BSES ELECTRICITY BILL APR,BSES Delhi
2026-04-02,-900,DELHI JAL BOARD WATER BILL APR,Delhi Jal Board
2026-04-03,-999,JIO FIBER MONTHLY APR,Jio
2026-04-05,-1450,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-04-09,-1100,DMART GROCERY PURCHASE,DMart
2026-04-13,-1300,BIGBASKET WEEKLY GROCERY ORDER,BigBasket
2026-04-17,-850,MORE MEGASTORE BILL,More Supermarket
2026-04-04,-420,UBER RIDE TO OFFICE,Uber
2026-04-08,-230,OLA AUTO RIDE,Ola
2026-04-12,-150,DELHI METRO RECHARGE,Metro Rail
2026-04-16,-380,UBER RIDE MALL,Uber
2026-04-20,-200,OLA RIDE HOME,Ola
2026-04-02,-499,NETFLIX SUBSCRIPTION APR,Netflix
2026-04-02,-299,SPOTIFY PREMIUM APR,Spotify
2026-04-10,-800,PVR MOVIE TICKETS,PVR Cinemas
2026-04-06,-950,SWIGGY ORDER DINNER,Swiggy
2026-04-11,-1300,ZOMATO DINNER ORDER,Zomato
2026-04-15,-680,SWIGGY LUNCH ORDER,Swiggy
2026-04-19,-750,DOMINOS PIZZA ORDER,Dominos
2026-04-07,-3200,AMAZON ORDER MONITOR STAND,Amazon
2026-04-14,-1900,FLIPKART ORDER BACKPACK,Flipkart
2026-04-09,-550,APOLLO PHARMACY MEDICINES,Apollo Pharmacy
2026-04-10,-5000,LIC PREMIUM APR 2026,LIC
2026-04-15,-4000,SIP MUTUAL FUND APR 2026,Zerodha
2026-04-15,-6000,PPF CONTRIBUTION APR 2026,SBI PPF
2026-04-18,-4500,EMERGENCY FUND TRANSFER APR,HDFC Savings
2026-04-20,-380,PERSONAL CARE PRODUCTS,Nykaa
