date,amount,description
2026-03-01,-1200,BigBasket groceries
2026-03-02,-350,Uber ride
2026-03-03,-999,Netflix subscription
2026-03-04,-1500,Swiggy food order
2026-03-05,-2200,Amazon shopping
2026-03-06,-799,Jio recharge
2026-03-07,-500,Starbucks coffee
2026-03-08,50000,Salary Credit
2026-03-09,-1800,Zomato dinner
2026-03-10,-1200,Flipkart purchase
2026-03-11,-300,Metro Rail travel
2026-03-12,-2500,DMart groceries
2026-03-13,-699,Spotify subscription
2026-03-14,-450,Airtel recharge
2026-03-15,-2200,Myntra shopping
2026-03-16,-600,Dominos pizza
2026-03-17,-1500,Ola cab ride
2026-03-18,-1200,MedPlus pharmacy
2026-03-19,-5000,IRCTC train booking
2026-03-20,-3500,MakeMyTrip hotel booking
2026-03-21,-800,Zepto groceries
2026-03-22,-400,CCD coffee
2026-03-23,-999,Amazon Prime subscription
2026-03-24,-2000,Croma electronics purchase
2026-03-25,-1200,Swiggy lunch
2026-03-26,-250,Rapido bike ride
2026-03-27,-1800,Nykaa cosmetics
2026-03-28,-650,Apollo Pharmacy medicines
2026-03-29,-1500,Urban Company cleaning
2026-03-30,-3000,Airbnb booking
2026-04-01,52000,Salary Credit
2026-04-02,-900,Blinkit groceries
2026-04-03,-450,Uber ride
2026-04-04,-799,Hotstar subscription
2026-04-05,-2100,Ajio shopping
2026-04-06,-3000,Indigo flight ticket
2026-04-07,-600,KFC meal
2026-04-08,-1500,Tata Power bill
2026-04-09,-499,YouTube Premium
2026-04-10,-2500,Westside shopping
2026-04-11,-1200,Swiggy dinner
2026-04-12,-700,BigBasket groceries
2026-04-13,-2000,PolicyBazaar insurance
2026-04-14,-999,Apple Music subscription
2026-04-15,-350,Ola cab
2026-04-16,-4500,Cleartrip flight booking
2026-04-17,-800,Zepto groceries
2026-04-18,-300,Metro travel
2026-04-19,-2500,Flipkart electronics
2026-04-20,-1500,Zomato food